id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"linux-plus-054","0","","1.13","","","","","20","","5","A server's performance is slow. Running 'vmstat 1 5' shows consistently high 'wa"
"linux-plus-007","0","","1.12","","","","","31","","5","An administrator runs 'chage -l alice' and sees 'Password expires: Mar 01, 2026'"
"linux-plus-001","0","","1.11","","","","","27","","4","A Linux administrator needs to add a kernel module for a new network card withou"
"linux-plus-045","0","","1.11","","","","","29","","5","An administrator suspects network issues and wants to capture all TCP traffic on"
"linux-plus-016","0","","1.07","","","","","34","","4","A process is consuming excessive CPU. Running 'ps aux' shows PID 4521 using 98% "
"linux-plus-052","0","","1.07","","","","","31","","5","A user reports they cannot log in with their password. The administrator checks "
"linux-plus-048","0","","1.06","","","","","20","","5","A disk shows 95% usage but 'df -h' shows the filesystem is 60% full. What is the"
"linux-plus-015","0","","1.05","","","","","41","","5","A developer needs to give a script the ability to read files owned by root in /e"
"linux-plus-028","0","","1.05","","","","","22","","5","An administrator notices multiple failed sudo attempts in /var/log/auth.log for "
"linux-plus-036","0","","1.05","","","","","20","","4","An administrator needs to replace every occurrence of 'localhost' with '127.0.0."
"linux-plus-011","0","","1.04","","","","","27","","4","A systemd service unit file has 'Type=forking'. The service fails to start and s"
"linux-plus-008","0","","1.03","","","","","30","","5","A Linux server needs a process to run at the lowest possible scheduling priority"
"linux-plus-029","0","","1.03","","","","","34","","4","A developer generates a GPG key pair and wants to encrypt a file 'report.txt' fo"
"linux-plus-004","0","","1.02","","","","","22","","4","An administrator needs to create a 10 GB logical volume named 'datalv' in a volu"
"linux-plus-003","0","","1.01","","","","","26","","4","A sysadmin wants a new systemd service called 'appd' to start automatically at m"
"linux-plus-005","0","","1","","","","","20","","4","A user account 'jsmith' needs to be locked immediately without deleting the acco"
"linux-plus-021","0","","1","","","","","25","","4","An administrator needs to set a file permission of rwxr-x--- (owner: rwx, group:"
"linux-plus-022","0","","1","","","","","23","","5","A security audit reveals that /etc/passwd is world-writable. Which command fixes"
"linux-plus-031","0","","1","","","","","34","","5","A Bash script contains the following code: `for f in *.log; do gzip $f; done`. T"
"linux-plus-041","0","","1","","","","","18","","4","A cron job must run a backup script every day at 2:30 AM. Which crontab entry is"
"linux-plus-060","0","","1","","","","","28","","5","A script is failing intermittently in production. To debug it, an administrator "
"linux-plus-014","0","","0.99","","","","","23","","4","After running 'useradd -m -s /bin/bash -G wheel devuser', the administrator chec"
"linux-plus-057","0","","0.99","","","","","23","","5","An administrator needs to view all DNS records for the domain 'example.com', inc"
"linux-plus-026","0","","0.97","","","","","27","","5","An administrator running iptables wants to block all incoming traffic on port 23"
"linux-plus-056","0","","0.97","","","","","21","","5","A developer's Dockerfile has 'CMD [""python"", ""app.py""]' and the container is sta"
"linux-plus-030","0","","0.95","","","","","27","","4","AppArmor is installed and a profile exists for /usr/sbin/nginx. The administrato"
"linux-plus-059","0","","0.95","","","","","31","","4","A Podman container must run a long-running data processing job and continue afte"
"linux-plus-002","0","","0.94","","","","","33","","5","After a power failure, a server boots into emergency mode with the message 'Fail"
"linux-plus-025","0","","0.93","","","","","24","","5","A sysadmin needs to harden SSH on a production server. Which /etc/ssh/sshd_confi"
"linux-plus-033","0","","0.91","","","","","20","","5","An administrator needs to extract only the third field (colon-delimited) from /e"
"linux-plus-017","0","","0.89","","","","","18","","5","An administrator wants to prevent a specific kernel module 'pcspkr' from loading"
"linux-plus-023","0","","0.89","","","","","26","","5","An administrator wants to grant user 'bob' read and write ACL access to /srv/pro"
"linux-plus-043","0","","0.89","","","","","31","","5","A Bash function is defined to check connectivity and return 0 on success or 1 on"
"linux-plus-006","0","","0.88","","","","","30","","4","A system is configured with UEFI firmware. During boot, the administrator needs "
"linux-plus-047","0","","0.87","","","","","39","","5","A system with SELinux in enforcing mode was cloned from another server. On first"
"linux-plus-013","0","","0.86","","","","","34","","5","An administrator wants to ensure /dev/sdc1 is automatically mounted at /backup a"
"linux-plus-038","0","","0.84","","","","","24","","4","A team wants to create a feature branch named 'feature/auth' from main and switc"
"linux-plus-009","0","","0.77","","","","","29","","4","After installing a new package, an administrator wants to verify that none of th"
"linux-plus-035","0","","0.74","","","","","20","","4","A script needs to count how many times the word 'ERROR' appears in /var/log/app."
"linux-plus-053","0","","0.74","","","","","27","","5","An administrator needs to troubleshoot why a network service is not listening on"
"linux-plus-012","0","","0.71","","","","","27","","5","An administrator needs to extend a mounted XFS filesystem on an LVM logical volu"
"linux-plus-044","0","","0.53","","","","","22","","5","A server shows a load average of '18.5 14.2 9.8' in top. The system has 4 CPU co"
"linux-plus-039","0","","0.39","","","","","29","","5","A Dockerfile is being written for a Python web application. The requirements.txt"
